0 13 F2 3 	950.487184071	1.475e-03	420
0 13 E 2 	950.504016997	1.635e-03	274
0 13 F1 4 	950.522687560	1.629e-03	368
0 14 E 1 	1095.249537556	2.316e-03	151
0 14 F2 1 	1095.251271940	1.896e-03	191
0 14 A2 1 	1095.254991702	1.142e-03	213
0 14 F2 2 	1095.619000524	1.829e-03	286
0 14 F1 1 	1095.631981692	1.956e-03	283
0 14 A1 1 	1095.829407945	1.118e-03	297
0 14 F1 2 	1095.868773378	1.894e-03	357
0 14 E 2 	1095.892937381	2.349e-03	245
0 14 F2 3 	1095.981375064	1.709e-03	291
0 14 F1 3 	1096.132740243	1.699e-03	287
0 14 E 3 	1096.155175568	2.476e-03	205
0 14 F2 4 	1096.170546178	1.894e-03	256
0 15 F1 1 	1250.836673651	2.519e-03	142
0 15 F2 1 	1250.836958936	2.720e-03	131
0 15 A2 1 	1251.292622357	1.526e-03	185
0 15 F2 2 	1251.301751485	2.663e-03	199
0 15 E 1 	1251.307091020	2.964e-03	163
0 15 F1 2 	1251.590369962	2.534e-03	215
0 15 F2 3 	1251.646713964	2.442e-03	229
0 15 E 2 	1251.779146433	2.964e-03	182
0 15 F1 3 	1251.806996246	2.521e-03	226
0 15 A1 1 	1252.002346709	1.552e-03	188
0 15 F1 4 	1252.027686722	2.435e-03	189
0 15 F2 4 	1252.046149358	2.772e-03	191
0 15 A2 2 	1252.062484548	1.170e-03	183
1 0 F2 1 	1310.761587418	2.236e-03	17
1 1 A2 1 	1311.431511967	2.000e-04	45
1 1 F2 1 	1316.296516600	1.105e-03	40
1 1 F1 1 	1325.821880386	1.000e-03	43
1 1 E 1 	1326.126774485	1.000e-03	30
1 2 F2 1 	1327.308727206	2.000e-04	50
1 2 E 1 	1336.879229390	1.000e-03	46
1 2 F1 1 	1337.149411443	1.000e-03	68
1 2 A1 1 	1350.691367767	2.000e-04	56
1 2 F1 2 	1351.333886848	2.005e-04	76
1 2 F2 2 	1351.826789487	2.000e-04	72
1 3 F1 1 	1353.527608974	2.000e-04	58
1 3 E 1 	1353.596125523	2.000e-04	46
1 3 F2 1 	1367.733777592	1.000e-03	88
1 3 F1 2 	1368.277124144	1.000e-03	87
1 3 A1 1 	1369.018034409	1.000e-03	62
1 3 F1 3 	1386.390431918	2.062e-04	69
1 3 E 2 	1387.400495202	2.049e-04	62
1 3 F2 2 	1387.758732539	2.062e-04	83
1 3 A2 1 	1388.231694418	2.000e-04	70
1 4 A1 1 	1389.952219530	2.274e-04	65
1 4 F1 1 	1390.133562804	2.147e-04	78
1 4 F2 1 	1390.285526768	2.000e-04	76
1 4 A2 1 	1408.485090522	1.000e-03	74
1 4 F2 2 	1409.006792078	1.001e-03	86
1 4 E 1 	1409.375565274	6.080e-04	67
1 4 F1 2 	1410.767100131	1.000e-03	83
0 16 E 1 	1416.552683648	3.987e-03	80
0 16 F1 1 	1416.553685558	3.472e-03	94
0 16 A1 1 	1416.555199783	2.581e-03	112
0 16 F2 1 	1417.119453532	3.336e-03	122
0 16 F1 2 	1417.128654871	3.065e-03	139
0 16 E 2 	1417.498543472	3.728e-03	105
0 16 F2 2 	1417.519367987	3.229e-03	170
0 16 A2 1 	1417.580239491	2.343e-03	151
0 16 F2 3 	1417.752638339	3.381e-03	161
0 16 F1 3 	1417.806915309	3.224e-03	165
